time,ax,ay,az (m/s^2),aT (m/s^2)
1.187479,-0.8689,1.0398,-4.3224,4.530
1.191608,0.7797,-0.8551,-4.3855,4.536
1.197276,0.1634,-0.2724,-2.9977,3.014
1.201962,-0.2351,0.1234,-1.4864,1.510
1.206547,0.2293,0.4698,-1.0822,1.202
1.211259,-0.1729,0.2906,-0.5981,0.687
1.216525,-0.7925,0.0545,0.0753,0.798
1.220823,-1.2616,-0.2977,0.5049,1.391
1.225243,-1.7068,-0.7441,0.4834,1.924
1.231067,-2.1215,-1.1291,0.3222,2.425
1.235855,-2.5264,-1.3459,0.2445,2.873
1.241026,-2.9481,-1.3298,-0.0887,3.235
1.244455,-3.2870,-1.2145,-0.5142,3.542
1.252666,-3.6093,-1.1091,-0.9569,3.895
1.257790,-3.6375,-1.0457,-1.2226,3.977
1.260030,-2.9310,-0.9768,-0.8589,3.207
1.264156,-2.4834,-1.1279,-1.2841,3.015
1.269423,-2.2598,-1.2487,-1.9883,3.259
1.273556,-2.4356,-1.3241,-1.8976,3.359
1.278909,-2.3500,-1.4919,-2.0444,3.454
1.285297,-2.3248,-1.6270,-1.6395,3.277
1.288306,-2.3442,-1.6993,-1.0403,3.077
1.294327,-2.8914,-1.7836,0.1401,3.400
1.298660,-2.3306,-1.8873,0.2379,3.008
1.302883,-1.7585,-1.5352,-0.4082,2.370
1.307898,-1.9529,-1.9593,-0.1539,2.771
1.312652,-2.0166,-2.6121,0.1224,3.302
1.317700,-0.6233,-3.3790,0.1333,3.439
1.322974,-0.4730,-3.5500,0.3375,3.597
1.327638,-0.8576,-3.5369,0.4185,3.663
1.331569,-1.4029,-3.0085,0.2916,3.332
1.337408,-2.1621,-2.4530,-0.0449,3.270
1.341766,-2.9300,-2.6466,-0.7227,4.014
1.346954,-3.7994,-2.8207,-0.6164,4.772
1.352416,-4.5800,-3.1083,-0.2606,5.541
1.359222,-5.1727,-3.5705,-0.1609,6.287
1.360860,-5.1572,-4.1915,-0.1296,6.647
1.365978,-4.4795,-4.9670,-0.1845,6.691
1.370504,-4.5308,-5.4843,-0.5631,7.136
1.376088,-4.9510,-6.0555,-1.0064,7.886
1.379922,-5.3139,-6.4642,-1.3558,8.477
1.384777,-5.3066,-6.6650,-1.4588,8.644
1.390115,-4.8036,-6.6864,-1.5383,8.376
1.396764,-4.0616,-6.6290,-1.6287,7.943
1.399417,-3.1544,-6.4669,-1.7363,7.402
1.404395,-2.3264,-6.1634,-2.0567,6.901
1.409273,-1.1248,-5.6353,-2.6078,6.310
1.415147,1.1056,-4.8366,-3.5131,6.079
1.421798,2.6336,-4.2554,-4.2074,6.538
1.433452,3.3500,-3.8611,-4.1236,6.568
1.433788,3.0070,-3.5026,-3.6011,5.855
1.433971,2.7706,-3.0695,-2.5694,4.868
1.440612,2.9792,-2.4995,-1.0991,4.041
1.447312,3.5363,-1.8628,0.5988,4.041
1.447586,4.1658,-1.5321,1.8730,4.818
1.452938,4.7624,-1.6645,2.9456,5.842
1.457343,5.0860,-2.1781,3.5601,6.579
1.462043,5.1115,-2.8625,3.9393,7.060
1.467291,4.7371,-3.4895,4.0557,7.146
1.471789,4.4713,-3.9512,3.7168,7.030
1.476669,4.1455,-4.2387,3.2863,6.779
1.481435,3.6709,-4.4614,2.9901,6.505
1.486749,3.2842,-4.6087,2.8280,6.326
1.491572,2.8932,-4.6892,2.5833,6.085
1.496540,2.4961,-4.7579,1.8099,5.670
1.500693,2.2118,-4.7318,0.8344,5.289
1.505675,2.1075,-4.4561,0.0335,4.929
1.510957,2.2889,-4.0975,-0.6052,4.732
1.516829,2.6459,-3.8293,-1.0428,4.770
1.520664,3.1017,-3.2713,-1.4356,4.731
1.525142,3.5716,-2.7181,-1.8059,4.838
1.530248,3.9279,-2.0873,-2.3830,5.046
1.537053,4.1074,-1.5294,-2.9213,5.267
1.541725,4.1263,-1.0032,-3.3565,5.413
1.545028,3.8819,-0.8257,-3.4493,5.258
1.549857,3.4107,-1.0417,-3.2864,4.850
1.554544,3.0209,-1.3766,-3.1754,4.594
1.559220,2.9413,-1.3879,-3.1124,4.502
1.564090,3.1156,-1.1213,-3.0361,4.492
1.568905,3.3202,-0.9939,-2.8698,4.500
1.574139,3.5039,-0.8707,-2.7556,4.542
1.579158,3.7862,-0.4699,-2.5845,4.608
1.583605,3.9296,-0.0539,-2.4050,4.607
1.588637,3.9032,0.1273,-2.3411,4.553
1.593107,3.7200,-0.0141,-2.1545,4.299
1.597629,3.5124,-0.2873,-1.6972,3.911
1.603353,3.3670,-0.6770,-1.1488,3.621
1.607747,3.3580,-1.0846,-0.7305,3.604
1.612528,3.2988,-1.5131,-0.2522,3.638
1.618065,3.1870,-1.7996,0.1164,3.662
1.621760,3.0607,-1.9581,0.2421,3.642
1.627040,2.9480,-1.9843,0.3790,3.574
1.631211,3.0439,-1.6753,0.2978,3.487
1.636313,3.1249,-1.2863,-0.0632,3.380
1.641733,3.1840,-0.8814,-0.1624,3.308
1.646391,2.9974,-0.7709,0.0292,3.095
1.655518,2.4640,-1.0263,0.3997,2.699
1.656290,1.7619,-1.0765,1.0856,2.333
1.662254,1.3416,-0.7435,1.8116,2.374
1.665852,0.8113,-0.9028,2.1320,2.453
1.670797,-0.0981,-1.8548,1.9256,2.675
1.675401,-1.0577,-2.6115,0.5185,2.865
1.679731,-1.0271,-2.2962,-0.1147,2.518
1.684704,-0.6244,-2.1034,-0.9641,2.397
1.689589,0.5424,-0.9866,-1.3157,1.732
1.694348,2.0789,-0.2088,-1.6327,2.652
1.699166,3.1742,0.0344,-1.5159,3.518
1.704133,3.4696,-0.0833,-1.2221,3.680
1.708610,3.1906,-0.2977,-2.2508,3.916
1.713610,2.8270,-0.5878,-2.8585,4.063
1.718590,2.5778,-0.9350,-2.6641,3.823
1.723181,1.9802,-1.6709,-2.1933,3.395
